Point,Model,Shape,Activation,Test_result
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.13290234442245089, 0.48293928453553536]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.16994017169616815, 0.4858401754468792]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.07817556748796572, 0.4899591008633246]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.022396529006375822, 0.48344647266378565]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[7.863591610549175, 0.58556370253458]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[7.863405190437503, 0.5851685570113174]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.1582504169757098, 0.48577924725238986]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.14794004732103858, 0.4869177798157605]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.21000342921845605, 0.4866941122055861]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.2973270382720582, 0.503391876412703]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.1244086985411676, 0.49815204957315307]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.020742927428640024, 0.4928273758072784]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[7.863729729843195, 0.5863724843193105]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.17600755917484578, 0.4989111755203198]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.07276491912262609, 0.4948213571617117]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.2170763831731824, 0.655932453161453]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.0953678346497839, 0.6324163140114357]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.0004413974664143211, 0.6441535443937172]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.11874295623746071, 0.6388422203077441]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.12848161165096372, 0.5067944815732319]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.20460100129189296, 0.4939052114496505]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.01102208427950554, 0.4856243805363485]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.08113060259485655, 0.4887990130314231]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[-0.02569724075400352, 0.4940091444444375]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.2798110735777775, 0.4918290096734616]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.4234221417851915, 0.5046807432562893]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.005295183295570372, 0.487362317922895]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.05189747850325788, 0.48705896941627347]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.1961735434724193, 0.4902705443821212]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.11473617777150691, 0.5056778900200234]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.045429470370957875, 0.4967688163515791]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.11461195509880243, 0.5115026531219972]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[-0.07389892823211866, 0.5030039975800493]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.11606935480496162, 0.5001545978170034]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.6405671126644733, 0.5006288734214828]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.33328721864801897, 0.506343888308413]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.3020371557641327, 0.4987548164553515]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[0.05494798019825667, 0.5085263767728979]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[0.07402388726188018, 0.5011654114096415]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.2196439807597921, 0.48913691455681985]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.04124004413680647, 0.49471529122844426]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.07880744132067376, 0.49512091213511605]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.18230235946999424, 0.4932741511203909]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.07261731817899626, 0.4989738950930606]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.047085773998820725, 0.48615264859216467]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.09205972884237243, 0.49057697573072906]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.0823961935214023, 0.4884193456222031]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.14509591619319, 0.49144186185573063]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.10768647731958002, 0.4874300884613613]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[-0.047225536592887064, 0.5126440246799993]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[-0.024159867370021994, 0.5185529169159881]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.024107529591001542, 0.5156772617785746]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[-0.03625106010831157, 0.5161617269559896]"
-1,TP-Heavy_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.012297532312672893, 0.5168270392617801]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.08929228294479084, 0.5062893021918901]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.1522467851473681, 0.5187860332770579]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.09121624405447244, 0.5161087612604373]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.13526241630719552, 0.5338321032443963]"
-1,TP-Heavy_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[-0.026350718002738242, 0.5186902351913532]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.09438815274761442, 0.5077333411713124]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.05693486219911854, 0.5083634612692076]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.05793115844215104, 0.5105836609294173]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.019903645710325803, 0.5100843389952883]"
-1,TP-Heavy_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.06234235870098606, 0.5066797019386375]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.018424769902586912, 0.509407405363468]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.020761143556542024, 0.5081878679872395]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.10638986759865526, 0.5083268981486797]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.05809028174740084, 0.5074644561515821]"
-1,TP-Heavy_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.13100327378456944, 0.5073076727677592]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.013275713563793895, 0.9044257778234921]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.04173918455306025, 0.9183601016222372]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.21806983234990016, 0.8968929435482164]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.0709040360681124, 0.918288510154661]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.9154186607868943, 1.091313091799061]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.14046390357079774, 0.9043880086430706]"
