,count,mean,std,min,25%,50%,75%,max,range
Lat,333285.0,11.885630856474187,4.37771242822507,5.48,8.24,11.0,15.48,20.76,15.280000000000001
Lon,333285.0,102.01501273684686,2.688781990940289,97.24,99.76,102.24,104.24,106.52,9.280000000000001
land1,333285.0,893.0241475013877,765.7097545051572,0.0,0.0,1541.0,1600.0,1600.0,1600.0
land2,333285.0,441.55974916362874,603.2786069982915,0.0,0.0,6.0,1021.0,1600.0,1600.0
land3,333285.0,212.98210540528376,412.2331201533204,0.0,0.0,0.0,178.0,1600.0,1600.0
land4,333285.0,2.751605982867516,7.93642611090699,0.0,0.0,0.0,3.0,134.0,134.0
land5,333285.0,2.5974736336768833,26.912961552536895,0.0,0.0,0.0,0.0,1545.0,1545.0
land6,333285.0,47.04921013546964,76.79969803566433,0.0,0.0,1.0,74.0,828.0,828.0
land7,333285.0,0.03570817768576444,0.6203378629050301,0.0,0.0,0.0,0.0,20.0,20.0
z,333285.0,1450.9545146315354,2637.332791425446,-183.9013448707906,-1.2015618565134325,24.636106213009683,1711.2982168628007,12984.071369824473,13167.972714695263
Month,333285.0,8.784895809892435,1.146707681765538,7.0,7.0,9.0,10.0,12.0,5.0
Day,333285.0,10.872271479364509,6.791112091015557,1.0,5.0,10.0,14.0,31.0,30.0
Hour,333285.0,11.778666906701472,7.02366392131928,0.0,6.0,11.0,18.0,23.0,23.0
IR,333285.0,178.40522031250092,38.23883400659238,91.88888888888887,146.9259259259259,181.11111111111111,212.44444444444446,247.925925925926,156.03703703703712
VIS,333285.0,40.75342746920526,55.13813828140693,0.0,0.0,6.0,70.55555555555556,247.22222222222226,247.22222222222226
WV,333285.0,233.58695377496406,7.434283995508195,193.2962962962963,228.11111111111111,233.0,239.0,253.1851851851852,59.888888888888886
Wind_Strength,333285.0,3.851246166045781,2.87028193174149,0.002022302106528016,1.4345856794614078,2.9652057133597896,5.968519356089473,13.088746250353124,13.086723948246595
Wind_Direction,333285.0,0.19920917748647105,1.5616126161828783,-3.1415690737528252,-0.3420357632983641,0.3336720080085323,1.0792839912710446,3.1415923041582747,6.2831613779110995
u10,333285.0,1.9503568294309388,3.826817695270329,-11.15699114660064,-0.6124166019007702,1.0219393203421256,4.749389339224251,12.87069150151562,24.02768264811626
v10,333285.0,0.7784913301527471,2.004039042582916,-11.664308227671313,-0.37312452282807984,0.7089451455062171,1.8348916223766487,10.72993242925476,22.394240656926073
d2m,333285.0,297.17200207496,1.0510705758183103,282.3301295851092,296.85209708013383,297.28263362986803,297.72327266801096,301.817333089212,19.48720350410281
t2m,333285.0,299.9329262285271,2.0503733888273525,282.5257512792018,299.0968888696072,299.75543726403487,300.6415349629861,311.73670880478664,29.21095752558483
msl,333285.0,100476.10979112571,870.6432569196388,99011.7711610944,99011.77116109444,100879.93581096547,101073.90179474463,102598.77450452444,3587.003343430042
sp,333285.0,93734.51656108341,10091.220601108906,76862.31768613952,76862.31768613952,100143.91873515108,100980.39354431881,101978.58306162094,25116.265375481424
cp,333285.0,0.8521024706915472,0.9876750068316495,-1.7347234759768067e-15,0.2028546954635406,0.5323782129133328,1.1532725589841804,14.860512674303115,14.860512674303116
lsp,333285.0,0.30217358506263176,0.651923286362243,0.0,0.03597392881340005,0.097473307753001,0.2897161502653847,21.744750601222318,21.744750601222318
t2m_Next,333285.0,299.68372047242076,1.8898318348381546,281.8590873325868,299.00919777819144,299.5901761569162,300.3180719710957,311.8558486449929,29.99676131240608
cp_Next,333285.0,1.083977779616858,0.9757328132176543,-1.7347234759768067e-15,0.5014958845225334,0.7913264737267178,1.3707502309026456,14.860512674303115,14.860512674303116
lsp_Next,333285.0,0.331497688666914,0.652235550693202,0.0,0.054526394215717935,0.12679604029187305,0.3513530091877169,18.73393897951461,18.73393897951461
tp,333285.0,1.154276055754179,1.1631956154397276,-1.7347234759768067e-15,0.3869853621390836,0.8538032871570187,1.5426617653328882,28.240751259756063,28.240751259756063
tp_Next,333285.0,1.415475468283772,1.0901256841773763,0.5000000672794869,0.7262357312847545,1.0804006181784795,1.7087304116619657,19.346651307241963,18.846651239962476
