Point,Model,Shape,Activation,Test_result
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.13779327602964883, 0.887855993138543]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.9155376828315477, 1.0910891350384286]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.11064237587631476, 0.9117493708208124]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.041587322812171146, 0.8868432959369538]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.15357808922031, 0.9076672085143569]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.02085804189909433, 0.8854373148949122]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.035837862147572765, 0.9155612396981277]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.914385029044579, 1.0872360438523083]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.056954586904991965, 0.8788197840145797]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.0009157424811049351, 0.8689953762114766]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.030250697464592084, 0.8762046719205395]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.06450190650717431, 0.8714648252121036]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[-0.22137969995968224, 0.8712789141215156]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.9138459912255076, 1.0811955156694235]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.03943741983432, 0.8793902042231225]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[-0.11512348204618919, 0.8933952071686547]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.07451436428859207, 0.883290245200356]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.04965826051152923, 0.8659354848212045]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.0011248299663928127, 0.867530411285415]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.03742014805808627, 0.8705511313657457]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.12778227608384615, 0.872506492910864]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.031455188073809134, 0.8695354288829343]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.17635395591721473, 0.8919896495484335]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.023711721453579915, 0.8809625367408105]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[-0.11942522641205584, 0.8840348096899006]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.026408343540752305, 0.8809613097498966]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[-0.04802380790296095, 0.8807250947161529]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.2089740637394322, 0.8852007047983832]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[0.03347692552895411, 0.8817587585434045]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[0.16980303697082372, 0.8819805118416397]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.06263435908901538, 0.8826936840602521]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.11329459077261783, 0.8862300634308596]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.035840209573148395, 0.8740230323227661]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.10333624273445889, 0.8799393528683666]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.16193171769744608, 0.8751077865229475]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.04780635927947621, 0.869869267233724]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.02960403206815351, 0.8759074136544577]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.10693247172306297, 0.8774726016142511]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.038588342033243773, 0.8704553405783597]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.16183380071206063, 0.8701916946575441]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.04132198984897962, 0.879085731502554]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.028735828147319283, 0.8828147917520016]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[-0.02348071151386879, 0.8984891386616991]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.007746992590323798, 0.893020799482188]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[-0.004572004328573316, 0.8937027876498513]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[-0.020082040490950463, 0.8964326162400283]"
-1,TP-Light_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.03097430683832821, 0.894005391377139]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.014275565447074404, 0.9037532535536213]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[-0.01969017350880938, 0.9025211379628358]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[-0.003253511526091507, 0.8984236781869156]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.07213896606911405, 0.8966538864825596]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[-0.003235432655429824, 0.8955743898659622]"
-1,TP-Light_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[-0.005423809881595594, 0.902379626941179]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.007998702663957951, 0.8893955508699403]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.05312150059867915, 0.8866591660830817]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.04826599112615935, 0.8854894241682381]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.007979234303427972, 0.8820325774344899]"
-1,TP-Light_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.004036890911578642, 0.8958208033269159]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.022878701833659854, 0.8756633703356829]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.04074649983071566, 0.8805059050991031]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.01615287080359736, 0.8815975944566449]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.03027435099616039, 0.8793785067417713]"
-1,TP-Light_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.027084029439098836, 0.882276815531003]"
