,count,mean,std,min,25%,50%,75%,max,range
Lat,3428662.0,12.869330415188188,4.593406285276337,5.48,8.76,12.76,16.759999999999998,20.76,15.280000000000001
Lon,3428662.0,102.06312566243038,2.555637842430215,97.24,100.0,102.24,104.0,106.52,9.280000000000001
land1,3428662.0,597.0658390940839,745.8743220847754,0.0,0.0,2.0,1600.0,1600.0,1600.0
land2,3428662.0,496.1570621426084,600.9003249174059,0.0,0.0,96.0,1097.0,1600.0,1600.0
land3,3428662.0,424.9195703746826,571.5906712827527,0.0,0.0,72.0,807.0,1600.0,1600.0
land4,3428662.0,4.667056420259565,10.451742302251514,0.0,0.0,1.0,5.0,134.0,134.0
land5,3428662.0,4.339304370042892,46.93603914381618,0.0,0.0,0.0,0.0,1545.0,1545.0
land6,3428662.0,72.80328565487062,104.77739210431874,0.0,0.0,23.0,113.0,828.0,828.0
land7,3428662.0,0.04788194345199381,0.5516568378639233,0.0,0.0,0.0,0.0,20.0,20.0
z,3428662.0,1906.4678100836468,2879.6604565658763,-183.9013448707906,2.8556876223765837,337.62187072287566,2613.2417291159227,12984.071369824473,13167.972714695263
Month,3428662.0,8.307586457924403,1.1014523564472232,7.0,7.0,8.0,9.0,12.0,5.0
Day,3428662.0,14.737286731675505,8.842646041443182,1.0,7.0,14.0,22.0,31.0,30.0
Hour,3428662.0,11.684610498206006,6.903960458435482,0.0,6.0,12.0,18.0,23.0,23.0
IR,3428662.0,163.5319690520891,40.04608835898042,77.07407407407408,126.55555555555556,163.66666666666666,197.5555555555556,248.3703703703704,171.29629629629633
VIS,3428662.0,31.438106025464574,45.64702513949031,0.0,0.0,4.925925925925926,48.85185185185186,253.77777777777766,253.77777777777766
WV,3428662.0,230.88778653683667,7.573380267124556,185.5555555555556,226.0,230.51851851851848,236.0,253.1851851851852,67.62962962962959
Wind_Strength,3428662.0,3.408826469791012,2.4609141219022304,0.0013962863632679071,1.450389778458998,2.6931315135297735,4.8203188155475,14.508743788424466,14.507347502061199
Wind_Direction,3428662.0,0.355315887724432,1.339363583737928,-3.1415832612325496,0.016696636738893524,0.5016657446177551,1.0909619898905727,3.1415923041582747,6.283175565390824
u10,3428662.0,1.9275851963517656,2.97986507160058,-14.372430041964568,-0.043855634990676254,1.3626263931850722,3.5932276091291047,13.313041934703646,27.685471976668214
v10,3428662.0,1.16281418516462,1.9310310106846666,-13.824037489554481,0.025233285856407234,1.0560178106973246,2.169132180262476,13.102427691990412,26.92646518154489
d2m,3428662.0,296.9437720442474,1.3913953566932455,278.11546174615245,296.5558856969176,297.21714438875296,297.71862148124006,302.3460410395562,24.230579293403764
t2m,3428662.0,300.2292421934769,2.41839966612702,280.1971254361099,299.0137074456908,300.4432595939345,301.5052004082356,313.38515691967945,33.188031483569546
msl,3428662.0,99848.22758599983,1003.5388100584653,99011.7711610944,99011.7711610944,99011.7711610944,100954.26536438894,103083.95838050754,4072.187219413143
sp,3428662.0,86029.49647578603,11032.899307208332,76862.31768613952,76862.31768613952,76862.31768613952,99655.61562665588,102179.09951903996,25316.781832900437
cp,3428662.0,0.24029601655688393,0.5807582616699212,-1.7347234759768067e-15,0.00028861989150461064,0.02718193949822998,0.1928126860477654,16.06117285091241,16.06117285091241
lsp,3428662.0,12.838536445635317,14.006624169791666,0.0,0.005585353431564194,0.1970598144773422,28.210686303585014,28.210686303585014,28.210686303585014
t2m_Next,3428662.0,300.22616330191056,2.421117383297844,280.2793787655856,299.00712736641566,300.4404461091731,301.50368190251555,313.38515691967945,33.105778154093855
cp_Next,3428662.0,0.24013751722950682,0.5803454097180135,-1.7347234759768067e-15,0.0002825616518673017,0.027009377229174965,0.1926824759962568,16.06117285091241,16.06117285091241
lsp_Next,3428662.0,12.850184072882238,14.007657449341197,0.0,0.0055908526308734215,0.19886662808014263,28.210686303585014,28.210686303585014,28.210686303585014
tp,3428662.0,13.078832462192214,14.02398728811765,-1.7347234759768067e-15,0.03154525381961369,1.1192126423374797,28.230333429503933,44.27185915449744,44.27185915449744
tp_Next,3428662.0,13.090321590111756,14.0248469212437,-1.7347234759768067e-15,0.03133142294441445,1.128421994611053,28.23034276632373,44.27185915449744,44.27185915449744
