Point,Model,Shape,Activation,Test_result
-1,T-test_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.17339129760197747, 0.7049270596233619]"
-1,T-test_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.12842851520503915, 0.70573705465314]"
-1,T-test_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.13912767928846156, 0.7385908120664845]"
-1,T-test_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.10541929373645806, 0.7190439393235688]"
-1,T-test_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[-0.2899221184046454, 0.762848025894785]"
-1,T-test_Dense1,"[20, 10, 1]","['', 'relu', 'relu']","[0.11056382309872802, 0.6968595594010867]"
-1,T-test_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[19.94726819267605, 2.4212143041341454]"
-1,T-test_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.11664054135065595, 0.6709784284387844]"
-1,T-test_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.08621134834290697, 0.6607270824934689]"
-1,T-test_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.03819272792929938, 0.6563002180824923]"
-1,T-test_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[-0.13332074182646023, 0.6664365902102994]"
-1,T_Dense1,"[20, 40, 1]","['', 'relu', 'relu']","[0.05090663646715984, 0.6632036988927758]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.11689045635970655, 0.7004321011361655]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.31393955019104747, 0.7023133714013556]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[0.004763916826288379, 0.6806155060947365]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[-0.13040254729219877, 0.6926303743923046]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'relu', 'relu', 'relu']","[-0.20941143933546114, 0.6803805196753231]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.0600021850909047, 0.637329723143614]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.2816645646281632, 0.645863395410148]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.1279564871244212, 0.6337894031555709]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.3475425971898719, 0.6385398908831903]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[0.20761598617319735, 0.640096478404115]"
-1,T_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.053477824460031416, 0.7030119167956905]"
-1,T_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.007980768705431946, 0.7055065927665186]"
-1,T_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[0.05188528909373521, 0.706923016072812]"
-1,T_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[-0.06834639100382478, 0.7121794130745354]"
-1,T_Dense1,"[20, 10, 1]","['', 'tanh', 'tanh']","[-0.27071181138570877, 0.7113427368136399]"
-1,T_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[0.19009326652523661, 0.705021362809514]"
-1,T_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.1792384602290187, 0.7044469510792815]"
-1,T_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[0.09176345553598352, 0.7067102253169983]"
-1,T_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[0.06574418974471194, 0.7079406163429096]"
-1,T_Dense1,"[20, 40, 1]","['', 'tanh', 'tanh']","[-0.24002881745833698, 0.7044018959797909]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.029064914644593057, 0.6947976380962574]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.0017050124578758177, 0.6945750640990668]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.045067814825122454, 0.6911868144627323]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.13128037005769452, 0.6936115150808518]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'tanh', 'tanh', 'tanh']","[0.011569112480852402, 0.6888134003756443]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.2549391791590785, 0.7017780158229668]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.01361264224952191, 0.6800539833773139]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[0.09296302711820867, 0.6814218106733632]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.29744363453799283, 0.6945399968363576]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'tanh', 'tanh', 'tanh']","[-0.014033466018446865, 0.6742619643370942]"
-1,T_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.019112819941010464, 0.7060718690856496]"
-1,T_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.0834064399604665, 0.7056424383126891]"
-1,T_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.10111548373153485, 0.7071714587763174]"
-1,T_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[-0.12193895632523302, 0.7030561959555297]"
-1,T_Dense1,"[20, 10, 1]","['', 'sigmoid', 'sigmoid']","[0.04932655211607245, 0.7078722792842755]"
-1,T_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[-0.11852232074439578, 0.702495996346974]"
-1,T_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.029427689669965677, 0.7043246657969489]"
-1,T_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.14742985713392187, 0.7027989996097105]"
-1,T_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[0.015716992498026515, 0.703675463294572]"
-1,T_Dense1,"[20, 40, 1]","['', 'sigmoid', 'sigmoid']","[-0.14601396514916487, 0.7021733878038676]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.006766326001655155, 0.7062647695323188]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.019511730407055207, 0.7055702678361983]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.051444018421171425, 0.713531191166652]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.11383673898728205, 0.7030749443760067]"
-1,T_Dense1,"[20, 10, 5, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.09663961719025213, 0.7081557935099184]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[-0.21660957286029475, 0.7007487577010569]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.02756023802685853, 0.7000474278907678]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.2258385051032975, 0.7031629927200872]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.015476610655957275, 0.6911926178112304]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.13039934875893786, 0.6931317409723893]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'sigmoid', 'sigmoid', 'sigmoid']","[0.15368486203213888, 0.6561489087277166]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.15998222037584722, 0.6385790578467336]"
-1,T_Dense1,"[20, 40, 20, 1]","['', 'relu', 'relu', 'relu']","[-0.2563210946583395, 0.6329484624255677]"
